湖南频道,#genre#
湖南卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040382/main.m3u8#http://39.134.242.92:80/180000001002/00000001000000000007000000001242/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000007000000001242/main.m3u8
湖南经视,http://39.134.242.92:80/180000001002/00000001000000000002000000113182/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000002000000113182/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182567/main.m3u8#http://39.134.240.3/PLTV/2/224/3221226036/index.m3u8
湖南都市,http://39.134.242.92:80/180000001002/00000001000000000007000000001249/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000007000000001249/main.m3u8#http://39.134.240.3/PLTV/2/224/3221226146/index.m3u8
湖南电影,http://39.134.242.92:80/180000001002/00000001000000000007000000001246/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000007000000001246/main.m3u8#http://39.134.13.35:6610/180000001001/00000001000000000007000000001246/index.m3u8?#http://39.134.240.3/PLTV/2/224/3221226140/index.m3u8
湖南公共,http://39.134.242.92:80/180000001002/00000001000000000008000000047425/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047425/main.m3u8#http://39.134.240.3/PLTV/2/224/3221226192/index.m3u8
湖南娱乐,http://39.134.242.92:80/180000001002/00000001000000000007000000001248/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000007000000001248/main.m3u8#http://39.134.240.3/PLTV/2/224/3221226144/index.m3u8
湖南国际,http://39.134.242.92:80/180000001002/00000001000000000008000000047426/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047426/main.m3u8#http://39.134.13.35:6610/180000001001/00000001000000000008000000047426/index.m3u8?#http://39.134.240.3/PLTV/2/224/3221226194/index.m3u8
湖南电视剧,http://39.134.242.92:80/180000001002/00000001000000000007000000001245/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000007000000001245/main.m3u8#http://39.134.240.3/PLTV/2/224/3221226138/index.m3u8
湖南教育,http://39.134.242.92:80/180000001002/00000001000000000023000000196697/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000023000000196697/main.m3u8
快乐垂钓,http://39.134.242.92:80/180000001002/00000001000000000010000000040368/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000010000000040368/main.m3u8#http://39.134.240.3/PLTV/2/224/3221226348/index.m3u8
金鹰纪实,http://39.134.242.92:80/180000001002/00000001000000000016000000007228/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000016000000007228/main.m3u8
金鹰卡通,http://39.134.242.92:80/180000001002/00000001000000000007000000001247/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000007000000001247/main.m3u8#http://39.134.240.3/PLTV/2/224/3221226142/index.m3u8
常德综合,http://39.134.242.92:80/180000001002/00000001000000000014000000153736/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000014000000153736/main.m3u8
